English Name,Amount,English Unit,,Calories,Fats,Carbs,Protein,Arabic Name,Arabic Unit,Vit A (µg),Vit C (mg),Vit D (µg),Vit K (µg),Folate (µg),Vit B12 (µg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Selenium (µg),,FoodGroup,SubGroup
Almonds,100,gm,,575,49.4,21.7,21.1,لوز,جرام ,1,-,-,-,44,-,269,3.7,270,733,3.1,4.1,,Fats & Oils,Healthy Fat
Milk (2% Fat),100,gm,,55,2.1,5.5,3.4,لبن نص دسم ,جرام ,56,-,1.3,0.1,5,0.5,120,0.05,11,146,0.4,3.1,,Protein,Lean Protein
Brown Toast,100,Gram,,265,4.4,49,13,توست بني ,جرام,1,0,0,1.9,44,0.2,111,2.9,59,165,1.8,34.4,,Carbs,High-Carb
Mushrooms,100,gm,,22,0.3,3.3,3.1,مشروم,جرام,-,-,0.2,-,17,-,3,0.5,9,318,0.5,9.3,,Veg,Low-Carb
Zucchini,100,gm,,17,0.3,3.1,1.2,كوسة  قبل الطهي ,جرام,10,17.9,-,4.3,24,-,16,0.37,18,261,0.3,0.2,,Veg,Low-Carb
Olive Oil,100,gm,,884,100,0,0,زيت زيتون,جرام,-,-,-,60.2,-,-,1,0.54,-,1,0.02,0.4,,Fats & Oils,Healthy Fat
Grapes,100,gm,,69,0.2,18.1,0.7,عنب ,جرام,3,3.2,-,14.6,2,-,10,0.36,7,191,0.07,0.1,,Fruit,Low-Carb
Apple,100,gm,,52,0.2,14,0.3,تفاح,جرام,3,4.6,-,2.2,3,-,6,0.12,5,107,0.04,0.3,,Fruit,Low-Carb
Juhayna Greek Yoghurt 2%,100,gm,,50,0.2,3.611,8.333,زبادي يوناني ساده (جهينة) ٢٪ دهون,جرام,56,0.6,-,0.1,5,0.76,110,0.05,11,155,0.59,2.2,,Protein,Lean Protein
Cheddar Light - President,100,Gram,,254,18,2.1,22,جبنة شيدر لايت شرائح (بريزيدون),جرام,201,0,0.5,1.5,12,0.8,709,0.2,25,75,2.1,14.5,,Protein,Fatty Protein
Walnuts,100,gm,,650,65,14,15.5,عين جمل,جرام,1,1.3,-,2.7,98,-,98,2.9,158,441,3.1,4.9,,Fats & Oils,Healthy Fat
Green Beans,100,gm,,35,0.3,7.9,1.9,فاصوليا خضراء,جرام,35,16.3,-,14.4,33,-,37,1.03,25,209,0.24,0.6,,Veg,Low-Carb
Cashew,100,gm,,553,43.9,30.2,18.2,كاجو,جرام,-,-,-,34.1,25,-,37,6.7,292,660,5.8,19.9,,Fats & Oils,Healthy Fat
Oats,100,gm,,379,6.5,67.7,13.2,شوفان مطحون / دقيق الشوفان ,جرام,-,-,-,2,32,-,52,4.25,138,362,3.64,28.9,,Carbs,High-Carb
Avocado,100,gm,,160,14.7,8.5,2,أفوكادو,جرام,7,10,-,21,81,-,12,0.55,29,485,0.64,0.4,,Fruit,High-Fiber
Broccoli,100,gm,,34,0.4,6.6,2.8,بروكلي,جرام,31,89.2,-,101.6,63,-,47,0.73,21,316,0.41,2.5,,Veg,Low-Carb
Chia Seeds,100,gm,,486,30.7,42.1,16.5,بذور الشيا ,جرام,3,1.6,-,-,49,-,631,7.7,335,407,4.6,55.2,,Fats & Oils,Healthy Fat
Tomato,100,gm,,18,0.2,3.9,0.9,طماطم,جرام,42,13.7,-,7.9,15,-,10,0.27,11,237,0.17,-,,Carbs,Low-Carb
Onion,100,gm,,40,0.1,9.3,1.1,بصل ,جرام,-,7.4,-,0.4,19,-,23,0.21,10,146,0.17,0.5,,Veg,Low-Carb
Peas (cooked),100,gm,,83,0.22,15.55,5.33,بسلة (بعد الطهي),جرام,40,14,-,25.9,63,-,26,1.5,39,108,0.5,1.9,,Veg,Low-Carb
Oat Pasta (cooked),100,gm,,131,1.1,25,5,مكرونة شوفان (بعد الطهي),جرام,-,-,-,-,14,-,20,1.3,40,100,1,15,,Carbs,High-Carb
Macroni (cooked),100,gm,,131,1.1,25,5,مكرونة (بعد الطهي),جرام,-,-,-,0.1,8,-,11,0.3,23,44,0.5,26,,Carbs,High-Carb
Minced Molokhia,100,gm,,42,0.02,6.5,1.7,ملوخية ,جرام,125,2.5,-,-,80,-,200,1.5,54,584,0.71,0.9,,Veg,Low-Carb
Light Philadelphia Cheese,100,gm,,153,12,4.3,6,جبنة فلاديفيا لايت ,جرام,180,-,-,2.9,13,0.2,90,0.4,10,130,0.5,3,,Protein,Lean Protein
Turky Meat,100,gm,,170,5,2,29.2857,فصوص تركي ,جرام,10,-,0.2,-,8,0.4,32,1.4,30,330,2,30.7,,Protein,Lean Protein
Stewed Lean Meat (cooked),100,gm,,187,6.63,0,29.81,مكعبات لحمة حمراء (بعد الطهي),جرام,2,-,0.1,1.1,5,2.6,8,3.1,22,300,6.9,35,,Protein,Lean Protein
Tortilla Bread,100,Gram,,282,5,52.2,8,عيش تورتيلا (متوسط 50 جم للقطعة),جرام,,,,,5,,,20.8,2.4,4,1.8,2.8,,Carbs,High-Carb
Mango,100,gm,,65,0.3,17,0.5,مانجو,جرام,54,36.4,-,4.2,43,-,11,0.16,10,168,0.09,0.6,,Fruit,High-Carb
Cantaloupe,100,gm,,34,0.2,8.2,0.8,كانتلوب,جرام,169,36.7,-,2.5,21,-,9,0.21,12,267,0.18,0.4,,Fruit,Low-Carb
Pinapple,100,gm,,50,0.1,13.1,0.5,أناناس ,جرام,3,47.8,-,0.7,18,-,13,0.29,12,109,0.12,0.1,,Fruit,Low-Carb
Soybeans (cooked),100,gm,,175,9.1,10,16.5,فول صويا (بعد الطهي),جرام,1,6,-,19.1,58,-,277,15.7,86,436,1,17.8,,Protein,Lean Protein
Tilapia Fish (cooked),100,gm,,128,2.6,0,26.2,سمك بلطي (بعد الطهي),جرام,1,-,3.9,-,4,1.6,10,0.27,34,380,0.4,54.4,,Protein,Lean Protein
Lentils (cooked),100,gm,,140,0.5,23,12,عدس (بعد الطهي),جرام,-,1.5,-,1.7,181,-,19,3.3,36,369,1.3,2.8,,Carbs,High-Carb
Almond Milk,100,mL,,15,1,1.3,0.4,لبن لوز,جرام,50,-,1,-,-,-,50,0.16,6,17,0.06,0.2,,Protein,Lean Protein
Lupini Beans (cooked),100,gm,,119,2.9,10,16,ترمس (بعد الطهي),جرام,1,-,-,-,54,-,53,1.2,54,422,1.1,-,,Protein,Lean Protein
Tuna Light (Sunshine),100,gm,,103,0,1,23,تونة لايت (صن شاين),جرام,20,-,-,-,2,2.5,10,1.5,25,200,1,68.1,,Protein,Lean Protein
Tuna Salad Mexicana (Fisherman),100,gm,,141,6.7,6.8,11.4,سلطة تونةة مكسيكية (فيشر مان),جرام,25,4,-,10,20,1.2,30,1.2,30,250,0.8,40,,Packaged & Mixed Foods,Balanced Protein-Carb
Strawberry,100,gm,,32,0.3,7.7,0.7,فراولة,جرام,1,58.8,-,2.2,24,-,16,0.41,13,153,0.14,0.4,,Fruit,High-Carb
President Light Cheese,100,gm,,140,8,5,12,جبنة لايت اسبريد (بريزيدون),جرام,100,-,-,1.5,20,0.3,400,0.3,15,120,1,10,,Protein,Lean Protein
Whey Protein,100,Gram,,376,1,4.4,88.3,واي بروتين ,جرام,0,0,0,0,0,0.2,150,0.2,30,170,0.5,20,,Protein,Lean Protein
black Coffee,100,cup,,0,0,0,0,قهوة,كوب,-,-,-,-,-,-,-,-,-,-,-,-,,Sauces & Condiments,Low-Cal
Soy Milk,100,Gram,,42,1.5,3.8,2.5,لبن صويا ,جرام ,25,,1.2,,11,0.5,120,0.6,20,120,0.3,3,,Protein,Lean Protein
Fava Beans Boiled,100,gm,,116.5,0.4,20,8,فول مدمس مطبوخ,جرام,1,1,-,3.2,177,-,50,2.5,70,330,1,1.2,,Carbs,High-Carb
Coconut Oil,100,ml,,833,93.3,0,0,زيت جوز هند,جرام ,-,-,-,0.6,-,-,-,0.05,-,-,-,-,,Fats & Oils,Healthy Fat
Peanut Butter,100,gm,,598,50,22.5,22.5,زبدة فول سوداني,جرام,-,-,-,0.1,71,-,48,1.9,169,564,2.8,5.3,,Fats & Oils,Low-Carb
Limitless Vegan Protein,100,Gram,,393,0.8,9.5,82.5,بروتين نباتي (ليمتليس),جرام,,,,,,,,,,,,I don’t know,,Protein,Lean Protein
Whole Milk,100,ml,,63,3.4,5,3.2,لبن كامل الدسم,جرام ,46,-,1.3,0.3,5,0.4,121,0.03,10,143,0.37,3.7,,Protein,Fatty Protein
Whole Yogurt,100,gm,,70,3.1,6.2,4.4,زبادي كامل الدسم,جرام,27,0.5,-,0.1,7,0.37,121,0.05,12,155,0.59,2.2,,Protein,Fatty Protein
Beet Root,100,gm,,43,0.2,9.6,1.6,بنجر,جرام,2,4.9,-,0.2,109,-,16,0.8,23,325,0.35,0.7,,Veg,High-Carb
Brown Rice (cooked),100,gm,,124,1,26,3,أرز بني (بعد الطهي),جرام,-,-,-,-,9,-,3,0.56,39,79,0.71,5.8,,Carbs,High-Carb
Okra (cooked),100,gm,,22,0.2,4.5,2,بامية (بعد الطهي),جرام,23,16.3,-,41.9,46,-,77,0.36,31,135,0.41,0.7,,Veg,Low-Carb
Balady Bread,100,gm,,260,0.8,56,8,عيش بلدي,جرام,-,-,-,-,120,-,80,3,40,200,1.5,25,,Carbs,High-Carb
"Cherries, Red",100,gm,,50,0.3,12,1,كرز (أصفر),جرام,3,7,-,2.1,4,-,13,0.36,11,222,0.07,0.1,,Fruit,High-Carb
Carrot,100,gm,,41,0.2,10,0.9,جزر,جرام,835,5.9,-,13.2,19,-,33,0.3,12,320,0.24,0.1,,Veg,High-Carb
Spinach,100,gm,,23,0.4,3.6,2.9,سبانخ,جرام,469,28.1,-,482.9,194,-,99,2.71,79,558,0.53,1,,Veg,Low-Carb
Aubergine (Eggplant),100,gm,,25,0.2,6,1,باذنجان,جرام,1,2.2,-,3.5,22,-,9,0.23,14,229,0.16,0.3,,Veg,Low-Carb
Liver / Kebda (cooked),100,gm,,165,4.4,3.8,26,كبدة بقري (بعد الطهي),جرام,5927,1.3,1.2,106,290,25,6,4.9,18,313,4,55,,Protein,Lean Protein
Shrimps,100,gm,,99,0.3,0.2,24,جمبري ,جرام,15,-,-,0.2,4,1.66,70,0.5,39,259,1.6,39.7,,Protein,Lean Protein
Whole-Grain Wheat Flour,100,gm,,340,2.5,72,13.2,دقيق أبيض (كامل الحبة),جرام,-,-,-,0.3,44,-,34,3.6,137,363,2.6,61.8,,Carbs,High-Carb
Celery,,,,,,,,كرفس,جرام,22,3.1,-,29.3,36,-,40,0.2,11,260,0.13,0.4,,Veg,Low-Carb
Parsley,,,,,,,,بقدونس,جرام,421,133,-,1640,152,-,138,6.2,50,554,1.07,0.1,,Veg,Low-Carb
Honey & Dough Bread,100,gm,,300,4,57.5,10,عيش (Honey&Dough),جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Carbs,High-Carb
Dates,100,gm,,282,0.4,75,2.5,بلح (تمر),جرام,7,0.4,-,2.7,19,-,39,1,43,656,0.29,3,,Fruit,High-Carb
Pear,100,gm,,57,0.1,15.2,0.4,كمثري,جرام,1,4.3,-,4.4,7,-,9,0.18,7,116,0.1,0.1,,Fruit,High-Carb
Sweet Potato (uncooked),100,gm,,86,0.1,20.1,1.6,بطاطا (فبل الطهي),جرام,709,2.4,-,1.8,11,-,30,0.61,25,337,0.3,0.6,,Carbs,High-Carb
Red Peas,100,gm,,98,2.4,14,6,فاصوليا حمراء,جرام,-,-,-,-,130,-,45,2.5,42,350,0.8,-,,Carbs,High-Carb
Orange Juice (Fresh),100,Gram,,45,0.2,10.4,0.7,عصير برتقال فريش,جرام,0.2,0.5,,0.0008,0.3,0.1,10.9,0.02,19.2,0.007,0.0008,,,Fruit,High-Carb
Peaches,100,gm,,39,0.3,9.5,0.9,خوخ,جرام,16,6.6,-,2.6,4,-,6,0.25,9,190,0.17,0.1,,Fruit,High-Carb
Coconut Milk,100,ml,,18,1.9,0.4,0.2,لبن جوزهند,جرام ,-,0.3,-,-,3,-,2,0.15,4,28,0.06,0.6,,Fats & Oils,Healthy Fat
Dreem Pure Cocoa,100,gm,,387,9,56.3,20.3,كاكاو خام (دريم),جرام,1,-,-,-,30,-,130,14,500,1500,7,14,,Sauces & Condiments,High-Carb
Lean Sirloin Steak,100,gm,,160,4.5,0,29.9,ستيك لحمة ,جرام,3,-,0.1,1.2,6,2.8,10,3.5,25,360,7.5,38,,Protein,Lean Protein
Asparagus,100,gm,,20,0.1,3.9,2.2,هليون,جرام,38,5.6,-,41.6,52,-,24,2.14,14,202,0.54,2.3,,Veg,Low-Carb
Fisherman Tuna (Zero Fat),100,gm,,116,0.8,0,25.5,تونة لايت (فيشر مان),جرام,20,-,-,-,2,2.5,10,1.5,25,200,1,68.1,,Protein,Lean Protein
Rice Cake,100,Gram,,387,2.8,81.5,8.2,كعك أرز,جرام,,,,,15,,30,1.5,120,300,2.5,20,,Carbs,High-Carb
Green Bell Peppers,100,gm,,20,0.2,4.6,0.9,فلفل أخضر بارد,جرام,18,80.4,-,7.4,10,-,10,0.3,10,175,0.1,0.1,,Veg,Low-Carb
Arugula,100,gm,,25,0.7,3.6,2.6,جرجير,جرام,119,15,-,108.6,97,-,160,1.46,47,369,0.92,-,,Veg,Low-Carb
Lettuce,100,gm,,15,0.1,2.9,1.4,خس ,جرام,370,9.2,-,126.3,38,-,36,0.86,13,194,0.18,0.6,,Veg,Low-Carb
Zero Treat Sauce,100,gm,,26.6,0,6.6,0,صوص لايت (زيرو تريت),جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Sauces & Condiments,Low-Cal
Lean Beef Bacon,100,gm,,106,0,6,18,بييكون (مخلي من الدهون),جرام,2,-,0.1,-,2,0.6,8,0.7,15,250,2.5,20,,Protein,Lean Protein
Reef Oats Bread,100,Gram,,340,6,64,8,عيش شوفان (ريف),جرام,-,-,-,-,-,-,-,-,-,-,-,-,,Carbs,High-Carb
Oat Flour (Whole Grain),100,gm,,379,6.5,67.7,13.2,شوفان مطحون / دقيق الشوفان ,جرام,-,-,-,2,32,-,52,4.25,138,362,3.64,28.9,,Carbs,High-Carb
Red Bell Peppers,100,gm,,26,0.3,6,1,فلفل أحمر بارد,جرام,157,127.7,-,4.9,26,-,7,0.43,12,211,0.25,0.1,,Veg,Low-Carb
Green Onions,100,gm,,27,0.5,5.7,1,بصل أخضر,جرام,50,18.8,-,207,64,-,72,1.48,20,276,0.39,0.5,,Veg,Low-Carb
Greek Yogurt With Fruit,100,gm,,106,3,12.29,7.33,زبادي يوناني بالفواكه (جهينة),جرام,25,2,-,0.2,10,0.3,100,0.1,10,140,0.5,2,,Protein,Balanced Protein-Carb
Nutrifit Zero Treat Jam (Strawberry ),100,gm,,87,0,10,11.5,مربي لايت (زيرو تريت),جرام,1,58.8,-,2.2,24,-,16,0.41,13,153,0.14,0.4,,Packaged & Mixed Foods,Low-Cal
Tomato Sauce (Fresh),100,ml,,28.7,0.3,5.3,1.2,صلصلة طماطم ,جرام,35,10,-,4,12,-,15,0.5,15,250,0.2,-,,Sauces & Condiments,Low-Cal
Kiwi,100,gm,,61,0.5,14.7,1.1,كيوي,جرام,4,92.7,-,40.3,25,-,34,0.31,17,312,0.14,0.2,,Fruit,Low-Carb
Pomegranate,100,gm,,83,1.2,18.7,1.7,رمان,جرام,-,10.2,-,16.4,38,-,10,0.3,12,236,0.35,0.5,,Fruit,High-Carb
Danone Hipro,100,Gram,,72,1.5,6.9,7.7,هاي برو (دانون),جرام,,,1.9,,,0.4,185,,28,155,0.4,,,Protein,Lean Protein
Gourmet Beef Pizza,100,وحدة,,80000,1640,13200,2840,بيتزا لحم (جورمية),وحدة,0,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,Balanced Protein-Carb
Kellogg'S Corn Flakes,100,gm,,357,0.9,85.7,7.1,رقائق ذرة (كيلوجز),جرام,476,21.4,5.4,-,214,2.7,7,28.9,25,161,0.3,2.1,,Carbs,High-Carb
Cinnamon Toast Crunch,100,gm,,415,9.8,78.5,6.3,مقرمشات قرفة ,جرام,469,15,5,-,125,4.5,312,11.2,78,266,2.8,20,,Packaged & Mixed Foods,High-Carb
Atyab Chicken Strips,100,gm,,100,10,10,15,شرائح دجاج (أطياب),جرام,15,0.5,-,10,15,0.2,15,1,20,250,1,15,,Protein,Lean Protein
Feta Cheese,100,gm,,265,21.5,3.9,14.2,جبنة فيتا لايت (المراعي),جرام,125,-,0.4,1.8,32,-,493,0.65,19,62,2.88,15,,Protein,Lean Protein
Optimum Serious Mass,100,Gram,,375,1.4,75.4,15,سريس ماس (Optimum),جرام,75.2,9,0.8,0.1,60,0.15,88.8,1.2,63.2,221.3,0.23,10.5,,Packaged & Mixed Foods,High-Carb
Anabolic Iso Whey,100,Gram,,377,2.7,3,85,أيزو واي (Anabolic),جرام,83.3,,1.7,,4.1,,40,0.83,426.7,1.7,50,166.7,,Protein,Lean Protein
Orange,100,gm,,47,0.1,12,0.9,برتقال,جرام,11,53.2,-,-,30,-,40,0.1,10,181,0.07,0.5,,Carbs,High-Carb
Sante Granola Gold Nut&Honey.,100,gm,,460,18,61,9.8,جرانولا بالعسل و المكسرات (سانتي),جرام,-,1.2,-,-,25,-,40,3,100,280,2,8,,Carbs,High-Carb
Honey,100,Gram,,304,0,82,0.3,عسل,جرام,0,0.5,0,0,2,0,6,0.2,2,52,0.2,0.8,,Carbs,High-Carb
Chickpeas (cooked),100,gm,,175,2.7,29.3,9.8,حمص (بعد الطهي),جرام,1,1.3,-,2.6,172,-,49,2.9,115,291,1.5,3.7,,Carbs,High-Carb
President Cheese Feta Light,100,gm,,131,7,5,12,جبنة فيتا لايت (بريزيدون),جرام,120,-,-,1.5,25,0.3,420,0.3,15,110,1.1,12,,Protein,Lean Protein
White Beans,100,gm,,92,0,16,6.1,فاصوليا بيضاء,جرام,-,-,-,0.1,177,-,105,8.7,190,561,2.8,1.2,,Carbs,High-Carb
Bulgur (cooked),100,gm,,83,0.2,18.7,3.1,برغل (بعد الطهي),جرام,-,-,-,-,18,-,10,0.96,32,68,0.5,0.5,,Carbs,High-Carb
Blueberry,100,gm,,57,0.3,14.5,0.7,توت أزرق,جرام,3,9.7,-,19.3,6,-,6,0.28,6,77,0.16,0.1,,Fruit,Low-Carb
Juhayna Light Yogurt,100,gm,,51,1.5,5,3.4,زبادي لايت (جهينة),جرام,14,0.9,-,0.1,5,0.37,121,0.05,12,155,0.59,2.2,,Protein,Lean Protein
Pumpkin Seeds,100,gm,,446,19,54,19,لب أبيض,جرام,3,0.3,-,-,58,-,43,3.3,262,919,10.3,5.6,,Fats & Oils,Healthy Fat
Popcorn,100,gm,,387,4.5,78,13,فشار (ذرة بعد التحضير),جرام,12,-,-,0.3,30,-,10,2.9,144,329,3.75,9.5,,Carbs,High-Carb
Baguette,100,gm,,289,1.8,56,12,عيش فرنسي (باجيت),جرام,-,-,-,0.1,106,-,260,2.8,32,134,1.1,26.3,,Carbs,High-Carb
Romano Cheese,100,gm,,387,26.9,3.6,31.8,جبنة تركي,جرام,240,-,0.5,2.3,8,1.6,1064,0.8,41,187,4.4,14.5,,Protein,Fatty Protein
Mozzarella Cheese (Whole Milk),100,gm,,318,24.6,2.5,21.6,جبنة موزاريلا  ,جرام,179,-,0.4,2.3,7,0.8,505,0.4,20,104,2.9,17.5,,Protein,Fatty Protein
Brown Bread,100,gm,,265,3.2,48.3,10.7,عيش أسمر ,جرام,-,-,-,1.9,28,-,260,2.7,82,266,1.9,37.9,,Carbs,High-Carb
Vanilla Powder,100,Gram,,288,0.1,74.1,0.1,فانيلا (بودر),جرام,0,0,0,0,0,0,11,0.1,12,148,0.1,1.2,,Sauces & Condiments,Low-Cal
Blackberries,100,gm,,43,0.5,10,1.4,توت أسود,جرام ,11,21,-,19.8,25,-,29,0.62,20,162,0.53,0.4,,Fruit,Low-Carb
Sweet Corn (California Garden),100,gm,,78,0.77,13,3,ذرة حلوة (حدائق كاليفورنيا),جرام ,9,6.8,-,0.3,42,-,2,0.52,37,270,0.46,0.6,,Carbs,Fatty Protein
President Triangle Chesse,100,gm,,284,24,9,8,جبنة مثلثات (بريزيدون),جرام ,150,-,-,2.5,15,0.8,550,0.5,20,150,1.2,12,,Protein,Fatty Protein
Persimmon,100,gm,,70,0.2,18.6,0.6,جبنة بارميزان,جرام ,81,7.5,-,2.6,8,-,8,0.15,9,161,0.11,0.1,,Protein,Fatty Protein
Kiri Creamy Labneh,100,gm,,230,22,3,5.5,لبنة كريمي (كيري),جرام ,180,-,-,2.1,12,0.3,140,0.2,15,130,0.5,4,,Protein,Fatty Protein
Butter,100,gm,,717,81,0.1,0.9,زبدة,جرام ,684,-,1.5,7,3,0.17,24,0.02,2,24,0.09,1,,Fats & Oils,Healthy Fat
Diet Suger,100,gm,,0,0,0,0,سكر دايت ,جرام ,-,-,-,-,-,-,-,-,-,-,-,-,,Packaged & Mixed Foods,Low-Cal
Black-Eyed Beans (cooked),100,gm,,116,0.5,20.8,7.7,لوبيا (بعد الطبخ),جرام,1,0.4,-,4.9,206,-,27,2.7,53,288,1.4,2.4,,Carbs,High-Carb
Trident Chewing Gum,100,gm,,247,0.4,65,0.5,لبان بدون سكر (ترايدنت),جرام,-,-,-,-,-,-,-,-,-,-,-,-,,Packaged & Mixed Foods,Low-Cal
Juhayna Mix Chocolate Milk,100,Gram,,65,1.4,10.5,2.7,جهينة ميكس بالشيكولاتة ,جرام,41.8,0.4,1.2,2.7,4.5,0.4,110,0.8,11.8,129.5,0.3,3.4,,Packaged & Mixed Foods,Candy-like Snack
Reef Barley Bread,100,Gram,,340,6,64,8,عيش شعير (ريف),جرام,-,-,-,-,-,-,-,-,-,-,--,-,,Carbs,Healthy Fat
Pecans,100,gm,,690,72,14,9,بيكان,جرام ,29,1.1,-,3.5,22,-,70,2.5,121,410,4.5,3.8,,Fats & Oils,Healthy Fat
Corn,100,gm,,100,1.5,22,3.5,ذرة,جرام ,9,6.8,-,0.3,42,-,2,0.52,37,270,0.46,0.6,,Carbs,High-Carb
Mandarin Orange,100,gm,,47,0.1,12,0.9,يوسفي,جرام ,34,26.7,-,-,16,-,37,0.15,12,166,0.07,0.1,,Fruit,High-Carb
Abu Auf Peanut Butter With Chocolate,100,gm,,598,51,22,22,زبدة فول سوداني بالشيكولاتة (أبوعوف),جرام ,-,-,-,0.1,65,-,50,2.5,180,600,3,6,,Fats & Oils,Healthy Fat
Skimmed Milk,100,ml,,35,0.1,5.2,3.3,لبن خالي الدسم ,جرام ,58,-,1.3,0.1,5,0.5,123,0.03,11,157,0.4,3.2,,Protein,Lean Protein
Chicken Liver (cooked),100,gm,,106.75,4,0.5,15,كبدة دجاج (بعد الطهي),جرام ,3290,27.9,0.3,3.1,560,16.6,8,8.5,21,230,2.7,54.6,,Protein,Lean Protein
Mullet Fish (cooked),100,gm,,150,4.9,0,24.8,سمك بوري (بعد الطهي),جرام ,60,-,24.7,0.1,10,3,50,1,30,400,0.5,46.8,,Protein,Lean Protein
Sardine,100,gm,,195,10.4,0,25.3,سردين,جرام ,25,-,4.8,2.6,10,8.9,382,2.9,39,397,1.3,52.7,,Protein,Fatty Protein
Lizi'S Granola,100,gm,,450,17,44,27,جرانولا (ليزي),جرام ,-,-,-,-,40,-,60,4,120,400,3,10,,Carbs,High-Carb
Pumpkin (cooked),100,gm,,26,0.1,5.5,1,قرع عسل (بعد الطهي),جرام ,426,9,-,1.1,16,-,21,0.8,12,340,0.32,0.3,,Veg,Low-Carb
Halloumi Chesse,100,gm,,311,23.5,1.7,23.9,جبنة حلومي,جرام ,245,-,0.5,2,20,1.5,790,0.5,30,150,3.5,20,,Protein,Fatty Protein
President Burger Cheese Slices,100,gm,,262,19.8,8,13,جبنة شرائح برجر (بريزيدون),جرام ,200,-,0.4,2.5,15,1,600,0.3,25,140,2.5,15,,Protein,Fatty Protein
White Cheese,100,gm,,318,24.33,2.28,22.44,جبنة بيضاء عادية ,جرام ,240,-,0.5,2.5,20,1.5,700,0.5,30,130,3,15,,Protein,Fatty Protein
Black Honey,100,gm,,290,0,75,0,عسل أسود,جرام ,-,-,-,-,-,-,205,4.7,242,1464,0.29,17.8,,Carbs,High-Carb
Roast Beef,100,gm,,170,6,0,29,روست بيف,جرام ,2,-,0.1,1.1,5,2.6,8,3.1,22,300,6.9,35,,Protein,Lean Protein
Pastrami,100,gm,,147,6,0,22,بسطرمة,جرام ,3,-,0.1,1.2,4,2.7,7,3.5,20,280,5,30,,Protein,Lean Protein
White Sugar,100,gm,,387,0,100,0,سكر أبيض,جرام ,-,-,-,-,-,-,-,-,-,-,-,-,,Carbs,High-Carb
Sea Bream Fish (cooked),100,gm,,135,3.5,0,24.2,سمك دنيس (بعد الطهي),جرام ,50,-,20,0.1,5,2.5,40,1,30,400,0.5,40,,Protein,Lean Protein
Grouper Fish / Hamour (cooked),100,gm,,118,1.3,0,24.8,سمك هامور (بعد الطهي),جرام ,40,-,-,-,10,1.1,20,0.5,40,500,0.7,36.5,,Protein,Lean Protein
Cauliflower,100,gm,,25,0.3,5,1.9,قرنبيط,جرام ,-,48.2,-,15.5,57,-,22,0.42,15,299,0.27,0.6,,Veg,Low-Carb
Sea Bass Fish (cooked),100,gm,,124,2.6,0,23.6,سمك قاروص (بعد الطهي),جرام ,50,-,15,0.1,5,2.5,40,1,30,300,0.5,38,,Protein,Lean Protein
