English Name,Amount,English Unit,Arabic Name,Arabic Unit
"Pinch of thyme, salt, and pepper",,As desired,رشة زعتر وملح وفلفل,حسب الرغبة
"Pinch of cumin, salt, and pepper",,As desired,رشة كمون وملح وفلفل,حسب الرغبة
Pinch of salt + pepper + meat spices,,As desired,رشة ملح + فلفل + بهارات لحم,حسب الرغبة
Pinch of salt + black pepper + cumin,,As desired,رشة ملح + فلفل أسود + كمون,حسب الرغبة
"Pinch of salt, pepper, meat spices, nutmeg",,As desired,رشة ملح، فلفل، بهارات لحمة، جوزة الطيب,حسب الرغبة
Pinch of salt + pepper + cinnamon + spices as desired,,As desired,رشه ملح + فلفل + قرفه + بهارات حسب الرغبه,حسب الرغبة
Rosemary,,As desired,روزماري,حسب الرغبة
Seven-spice mix,,As desired,سبع بهارت,حسب الرغبة
Lemon slice,,As desired,شريحة ليمون,حسب الرغبة
Chili,,As desired,شطة,حسب الرغبة
Black pepper,,As desired,فلفل أسود,حسب الرغبة
Curry,,As desired,كاري,حسب الرغبة
Turmeric,,As desired,كركم,حسب الرغبة
Fresh coriander,,As desired,كزبرة خضراء,حسب الرغبة
Ground coriander,,As desired,كزبرة ناشفة,حسب الرغبة
Cumin,,As desired,كمون,حسب الرغبة
Water,,As desired,مياه,حسب الرغبة
Water — enough to make sauce,,As desired,ماء-كمية مناسبة لعمل صوص,حسب الرغبة
Hot water,,As desired,ماء ساخن,حسب الرغبة
Ice cubes,,As desired,مكعبات ثلح,حسب الرغبة
Salt,,As desired,ملح,حسب الرغبة
Citric salt (or regular salt if unavailable),,As desired,ملح ليمون (أو ملح عادي لو مش متوفر),حسب الرغبة
Salt and black pepper,,As desired,ملح وفلفل أسود ,حسب الرغبة
Salt and black pepper – lemon juice,,As desired,ملح وفلفل أسود – عصير ليمون ,حسب الرغبة
"Salt, black pepper (optional)",,As desired,ملح، فلفل أسود (اختياري),حسب الرغبة
"Salt, black pepper, paprika, chicken spices, garlic powder, onion powder, rosemary as desired",,As desired,ملح، فلفل أسود، بابريكا، بهارات دجاج، ثوم بودرة، بصل بودرة، روزماري حسب الرغبه ,حسب الرغبة
"Salt, black pepper, ground coriander, cumin",,As desired,ملح، فلفل أسود، كزبرة ناشفة، كمون,حسب الرغبة
"Salt, black pepper, ground coriander, cumin, paprika",,As desired,ملح، فلفل أسود، كزبرة ناشفة، كمون، بابريكا,حسب الرغبة
"Salt, curry, chicken spices as desired, chopped parsley",,As desired,ملح، كاري، بهارات دجاج حسب الرغبه ، بقدونس مفروم,حسب الرغبة
Cold water,,As desired,مية باردة,حسب الرغبة
Warm water,,As desired,مية دافية ,حسب الرغبة
Mint,,As desired,نعناع,حسب الرغبة
Dried mint,,As desired,نعناع مجفف ,حسب الرغبة
Bay leaf,,As desired,ورق لورا,حسب الرغبة
Bay leaf + cinnamon stick,,As desired,ورق لورا + عود قرفة,حسب الرغبة
Fajita seasoning,,As desired,بهارات فاهيتا,حسب الرغبة
Kabsa spices,,As desired,بهارات كبسة,حسب الرغبة
